City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
129,vesyegonsk,56,RU,1539133695,88,58.67,37.27,44.82,15.46
130,moose factory,90,CA,1539129600,100,51.26,-80.61,37.4,4.34
131,ambon,0,FR,1539131400,82,47.55,-2.56,60.8,8.05
132,goderich,36,CA,1539133695,90,43.74,-81.71,70.69,11.43
133,uni,0,RU,1539133696,91,57.75,51.49,32.67,5.28
134,gao,0,ML,1539133696,48,16.28,-0.04,79.06,4.27
135,lorengau,44,PG,1539133696,100,-2.02,147.27,83.61,3.71
136,shelburne,1,CA,1539131880,100,44.08,-80.2,77.0,4.7
137,stawell,0,AU,1539133697,90,-37.06,142.77,50.85,17.69
138,sao filipe,80,CV,1539133697,96,14.9,-24.5,80.23,4.56
139,provideniya,90,RU,1539131400,87,64.42,-173.23,44.6,22.37
140,tazovskiy,80,RU,1539133697,88,67.47,78.7,32.89,1.48
141,nanortalik,68,GL,1539133697,100,60.14,-45.24,34.11,13.67
142,angoram,12,PG,1539133698,65,-4.06,144.07,87.93,3.0
143,anadyr,90,RU,1539131400,75,64.73,177.51,46.4,17.9
144,karratha,0,AU,1539133698,29,-20.74,116.85,85.18,11.83
145,mirante do paranapanema,0,BR,1539129600,94,-22.29,-51.91,71.6,2.24
146,mitha tiwana,0,PK,1539133698,91,32.24,72.11,56.7,4.83
147,port elizabeth,90,US,1539132900,96,39.31,-74.98,73.94,4.7
148,san quintin,20,PH,1539133200,74,17.54,120.52,84.2,2.24
149,pangai,75,TO,1539129600,78,-19.8,-174.35,78.8,8.05
150,thompson,90,CA,1539129600,63,55.74,-97.86,30.2,9.17
151,mount isa,0,AU,1539131400,21,-20.73,139.49,95.0,6.93
152,carutapera,24,BR,1539133699,80,-1.2,-46.02,80.46,11.32
153,dingle,24,PH,1539133699,81,11.0,122.67,82.08,5.84
154,wagar,92,US,1539133699,65,31.44,-87.99,82.26,8.75
155,newport,0,GB,1539132600,100,51.59,-3.0,51.8,9.17
156,shiyan,0,CN,1539133700,75,32.65,110.78,45.45,2.26
157,pacific grove,75,US,1539132060,83,36.62,-121.92,64.4,8.05
158,norman wells,75,CA,1539129600,87,65.28,-126.83,32.0,3.36
159,gazojak,0,TM,1539133700,77,41.19,61.4,38.52,4.79
160,afua,92,NG,1539133701,99,5.27,7.87,70.56,4.5
161,coquimbo,0,CL,1539129600,87,-29.95,-71.34,55.4,4.7
162,maniitsoq,64,GL,1539133701,100,65.42,-52.9,25.83,8.08
163,fare,100,PF,1539133701,100,-16.7,-151.02,79.06,3.0
164,vestmannaeyjar,92,IS,1539133701,100,63.44,-20.27,41.94,13.62
165,saskylakh,92,RU,1539133702,94,71.97,114.09,31.63,17.65
166,acapulco,75,MX,1539128580,79,16.86,-99.88,84.2,3.36
167,pangody,88,RU,1539133622,87,65.85,74.49,33.03,2.59
